codebase,repository_link,n_commits,
DemoSite,https://github.com/BroadleafCommerce/DemoSite,1477,
mayocat,https://github.com/jvelo/mayocat-shop,1670,
TNTConc.,https://github.com/autentia/TNTConcept,216
petclinic,https://github.com/spring-projects/spring-petclinic,545,
sunrise,https://github.com/commercetools/commercetools-sunrise-java,1859
helpy,https://github.com/scott/helpy,1650
Spina,https://github.com/SpinaCMS/Spina,500,
sharetribe,https://github.com/sharetribe/sharetribe,14940,
Hours,https://github.com/DefactoSoftware/Hours,796,
rstat.us,https://github.com/hotsh/rstat.us,2260,
kandan,https://github.com/kandanapp/kandan,868,
fulcrum,https://github.com/fulcrum-agile/fulcrum,697,
redmine,https://github.com/redmine/redmine,13009,
chiliproject,https://github.com/chiliproject/chiliproject,5532,
django-ﬁber,https://github.com/django-fiber/django-fiber,848,
mezzanine,https://github.com/stephenmcd/mezzanine,4964,
wagtail,https://github.com/wagtail/wagtail,6809,
mayan-edms,https://github.com/mayan-edms/Mayan-EDMS,5049,
django-shop,https://github.com/awesto/django-shop,3451,
django-oscar,https://github.com/django-oscar/django-oscar,6881,
django-wiki,https://github.com/django-wiki/django-wiki,1589,